event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
BGD27932,"31 July 2024",2024,1,Demonstrations,Protests,"Protest with intervention","Protesters (Bangladesh)","Lawyers (Bangladesh)",Protesters,"Police Forces of Bangladesh (2009-2024)",,"State forces","State forces-Protesters",,50,"South Asia",Bangladesh,Chittagong,Lakshmipur,"Lakshmipur Sadar",Lakshmipur,22.9443,90.8301,1,"Prothom Alo",National,"On 31 July 2024, lawyers staged a human chain protest in front of District Lawyers' Association building in Lakshmipur city, Lakshmipur Sadar (Chittagong), demanding justice for deaths during the quota reform movement, and release of students detained by police forces. Pro-Awami League lawyers stopped them from forming a human chain. Police removed the students from the site.",0,"crowd size=no report",1724113673
BGD27936,"31 July 2024",2024,1,Demonstrations,Protests,"Protest with intervention","Protesters (Bangladesh)","Lawyers (Bangladesh); Students (Bangladesh); Teachers (Bangladesh)",Protesters,"Police Forces of Bangladesh (2009-2024)",,"State forces","State forces-Protesters",,50,"South Asia",Bangladesh,Dhaka,Dhaka,Shahbagh,"Dhaka - Shahbagh",23.7317,90.3959,1,"New Age (Bangladesh)",National,"On 31 July 2024, hundreds of students, joined by teachers and lawyers, staged a protest outside the High Court in Dhaka - Shahbagh city, demanding justice for deaths during the quota reform movement, and release of students detained by police forces. Police detained 9 protesters during the protest, but later released them. Police scuffled with students and teachers of Dhaka university (likely using violence based on injuries) in front of Bangladesh Shishu Academy in Dhaka - Shahbagh, when they were on their way to the High Court. 1 teacher was injured in the incident.",0,"crowd size=hundreds",1724113673
BGD27942,"31 July 2024",2024,1,Demonstrations,Riots,"Violent demonstration","Rioters (Bangladesh)","Students (Bangladesh)",Rioters,"Police Forces of Bangladesh (2009-2024)",,"State forces","State forces-Rioters",,50,"South Asia",Bangladesh,Khulna,Khulna,"Khulna Sadar",Khulna,22.8097,89.5643,1,"Dhaka Tribune; New Age (Bangladesh)",National,"On 31 July 2024, hundreds of students clashed with police forces in Satrasta crossing area, Khulna city, Khulna Sadar, during their demonstration demanding justice for deaths during the quota reform movement, and release of students detained by police forces. Police forces fired sound grenades, rubber bullets and tear gas shells. At least 60 people were injured, and 100 were detained in the clash.",0,"crowd size=hundreds",1724113673
BGD27947,"31 July 2024",2024,1,Demonstrations,Riots,"Violent demonstration","Rioters (Bangladesh)",,Rioters,"Police Forces of Bangladesh (2009-2024)",,"State forces","State forces-Rioters",,50,"South Asia",Bangladesh,Rajshahi,Rajshahi,Boalia,Rajshahi,24.374,88.6011,1,"Prothom Alo",National,"On 31 July 2024, rioters threw bricks at a police patrol car in Rajshahi city (Boalia), amid ongoing demonstrations demanding justice for deaths during quota reform movement, and release of students detained by police forces. Police fired sound grenades in retaliation. No injuries.",0,"crowd size=no report",1724113673
BGD27952,"31 July 2024",2024,1,Demonstrations,Riots,"Violent demonstration","Rioters (Bangladesh)","Students (Bangladesh)",Rioters,"Police Forces of Bangladesh (2009-2024)",,"State forces","State forces-Rioters",,50,"South Asia",Bangladesh,Sylhet,Sylhet,"Sylhet Sadar",Sylhet,24.899,91.872,1,"Dhaka Tribune; New Age (Bangladesh)",National,"On 31 July 2024, students clashed with police forces using bricks in Subid Bazar area, Sylhet city, Sylhet Sadar, during their demonstration demanding justice for deaths during the quota reform movement, and release of students detained by police forces. Police forces used tear gas, rubber bullets and sound grenades during the clash. At least 20 people were injured in the clash.",0,"crowd size=no report",1724113673
BGD28609,"31 July 2024",2024,1,"Political violence","Violence against civilians",Attack,"AL: Bangladesh Awami League","Police Forces of Bangladesh (2009-2024)","Political militia","Civilians (Bangladesh)","Journalists (Bangladesh)",Civilians,"Political militia-Civilians","Civilian targeting",50,"South Asia",Bangladesh,Dhaka,Dhaka,Uttara,"Dhaka - Uttara",23.869,90.3942,1,"Dhaka Tribune",National,"On 31 July 2024, unidentified individuals in plain clothes joined by 50-60 other unknown people (likely police personnel and AL supporters, respectively, based on previously coded events amid quota reform movement) abducted and killed a journalist in Dhaka - Uttara (Uttara), in a targeted attack, amid ongoing demonstration of students, demanding justice and accountability for the deaths and mass arrests during the quota reform movement.",1,,1726009827
BGD27953,"31 July 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Bangladesh)","Students (Bangladesh); ADSM: Anti-Discrimination Student Movement",Protesters,,,,"Protesters only",,50,"South Asia",Bangladesh,Chittagong,Noakhali,"Noakhali Sadar",Noakhali,22.8667,91.1,1,"Prothom Alo",National,"On 31 July 2024, thousands of students, under the banner of 'anti-discrimination student movement', staged a protest in Majidi court area, Noakhali district town, Noakhali Sadar (Chittagong), demanding justice for deaths during the quota reform movement, and release of students detained by police forces.",0,"crowd size=thousands",1728407771
BGD27954,"31 July 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Bangladesh)","Students (Bangladesh); ADSM: Anti-Discrimination Student Movement",Protesters,,,,"Protesters only",,50,"South Asia",Bangladesh,Dhaka,Kishoregonj,"Kishoreganj Sadar",Kishoreganj,24.4338,90.7847,1,"Prothom Alo",National,"On 31 July 2024, students, under the banner of 'anti-discrimination student movement', staged protests in front of Kishoreganj court, and the field of Biam Laboratory School in Kishoreganj city, Kishoreganj Sadar (Kishoregonj, Dhaka), demanding justice for deaths during the quota reform movement, and release of students detained by police forces.",0,"crowd size=no report",1728407771
BGD27956,"31 July 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Bangladesh)","Students (Bangladesh); ADSM: Anti-Discrimination Student Movement",Protesters,"Protesters (Bangladesh)","BCL: Bangladesh Chhatra League; Students (Bangladesh)",Protesters,Protesters-Protesters,,50,"South Asia",Bangladesh,Mymensingh,Mymensingh,"Mymensingh Sadar",Mymensingh,24.7564,90.4065,1,"Prothom Alo",National,"On 31 July 2024, students, under the banner of 'anti-discrimination student movement', staged a protest in Mymensingh city, Mymensingh Sadar, demanding justice for deaths during the quota reform movement, and release of students detained by police forces. Members of Chhatra League (BCL) took out a counter protest at the same place against the ongoing protests of students.",0,"crowd size=no report",1728407771
BGD27957,"31 July 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Bangladesh)","Students (Bangladesh); ADSM: Anti-Discrimination Student Movement",Protesters,,,,"Protesters only",,50,"South Asia",Bangladesh,Rajshahi,Bogra,"Bogra Sadar",Bogra,24.853,89.3732,1,"Prothom Alo",National,"On 31 July 2024, students, under the banner of 'anti-discrimination student movement', staged a protest in Bogra city, Bogra Sadar (Rajshahi), demanding justice for deaths during the quota reform movement, and release of students detained by police forces.",0,"crowd size=no report",1728407771
BGD27975,"31 July 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Bangladesh)","Lawyers (Bangladesh); Students (Bangladesh); ADSM: Anti-Discrimination Student Movement",Protesters,,,,"Protesters only",,50,"South Asia",Bangladesh,Sylhet,Habiganj,"Habiganj Sadar",Habiganj,24.3804,91.413,1,"Prothom Alo",National,"On 31 July 2024, hundreds of students, under the banner of 'anti-discrimination student movement', staged a protest in front of Brindavan Government College in Habiganj city, Habiganj Sadar (Sylhet), demanding justice for deaths during the quota reform movement, and release of students detained by police forces. Lawyers joined the protest.",0,"crowd size=hundreds",1728407772
BGD27951,"31 July 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Bangladesh)","Students (Bangladesh); ADSM: Anti-Discrimination Student Movement",Protesters,,,,"Protesters only",,50,"South Asia",Bangladesh,Chittagong,Chandpur,"Chandpur Sadar",Chandpur,23.2271,90.6543,1,"Prothom Alo",National,"On 31 July 2024, students, under the banner of 'anti-discrimination student movement', staged a protest in district judge court and district commissioner's office area, Chandpur city, Chandpur Sadar (Chittagong), demanding justice for deaths during the quota reform movement, and release of students detained by police forces.",0,"crowd size=no report",1728407772
BGD27955,"31 July 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Bangladesh)","Students (Bangladesh); ADSM: Anti-Discrimination Student Movement",Protesters,,,,"Protesters only",,50,"South Asia",Bangladesh,Dhaka,Narsingdi,"Narsingdi Sadar",Narsingdi,23.923,90.7177,1,"Prothom Alo",National,"On 31 July 2024, more than 150 students, under the banner of 'anti-discrimination student movement', staged a protest in Upazila Mor area, Narsingdi city, Narsingdi Sadar (Dhaka), demanding justice for deaths during the quota reform movement, and release of students detained by police forces.",0,"crowd size=more than 150",1728407772
BGD27937,"31 July 2024",2024,1,Demonstrations,Protests,"Protest with intervention","Protesters (Bangladesh)","Students (Bangladesh); ADSM: Anti-Discrimination Student Movement",Protesters,"Police Forces of Bangladesh (2009-2024)",,"State forces","State forces-Protesters",,50,"South Asia",Bangladesh,Dhaka,Gazipur,"Gazipur Sadar",Gazipur,23.9984,90.4223,1,"Prothom Alo",National,"On 31 July 2024, students, under the banner of 'anti-discrimination student movement', staged a protest in Gazipur city, Gazipur Sadar (Dhaka), demanding justice for deaths during the quota reform movement, and release of students detained by police forces. Police forces charged batons and dispersed the protesters.",0,"crowd size=no report",1728407772
BGD27941,"31 July 2024",2024,1,Demonstrations,Protests,"Protest with intervention","Protesters (Bangladesh)","Students (Bangladesh); ADSM: Anti-Discrimination Student Movement",Protesters,"Police Forces of Bangladesh (2009-2024)",,"State forces","State forces-Protesters",,50,"South Asia",Bangladesh,Khulna,Jessore,"Jessore Sadar",Jessore,23.1697,89.2137,1,"Dhaka Tribune; Prothom Alo",National,"On 31 July 2024, students, under the banner of 'anti-discrimination student movement', staged a protest in Dharmatala area, Jessore city, Jessore Sadar (Khulna), demanding justice for deaths during the quota reform movement, and release of students detained by police forces. Police charged batons and dispersed the protesters. At least 20 students were injured.",0,"crowd size=no report",1728407772
BGD27948,"31 July 2024",2024,1,Demonstrations,Protests,"Protest with intervention","Protesters (Bangladesh)","Students (Bangladesh); ADSM: Anti-Discrimination Student Movement",Protesters,"Police Forces of Bangladesh (2009-2024)",,"State forces","State forces-Protesters",,50,"South Asia",Bangladesh,Rangpur,Dinajpur,"Dinajpur Sadar",Dinajpur,25.6274,88.6377,1,"Dhaka Tribune",National,"On 31 July 2024, students, under the banner of 'anti-discrimination student movement', staged a protest at Shaheed Minar, and Gor-E-Shahid Eidgah Maidan in Dinajpur city, Dinajpur Sadar (Rangpur), demanding justice for deaths during the quota reform movement, and release of students detained by police forces. Police detained 10 students during the protest.",0,"crowd size=no report",1728407772
BGD27949,"31 July 2024",2024,1,Demonstrations,Protests,"Protest with intervention","Protesters (Bangladesh)","Students (Bangladesh); ADSM: Anti-Discrimination Student Movement",Protesters,"Police Forces of Bangladesh (2009-2024)",,"State forces","State forces-Protesters",,50,"South Asia",Bangladesh,Rangpur,Thakurgaon,"Thakurgaon Sadar",Thakurgaon,26.021,88.4677,1,"Dhaka Tribune",National,"On 31 July 2024, students, under the banner of 'anti-discrimination student movement', staged a protest in Thakurgaon city, Thakurgaon Sadar (Rangpur), demanding justice for deaths during the quota reform movement, and release of students detained by police forces. Police forces used batons to disperse the protest. 2 students were injured in the clash.",0,"crowd size=no report",1728407773
BGD27992,"30 July 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Bangladesh)","Teachers (Bangladesh)",Protesters,,,,"Protesters only",,50,"South Asia",Bangladesh,Rajshahi,Rajshahi,Boalia,Rajshahi,24.374,88.6011,1,"New Age (Bangladesh)",National,"On 30 July 2024, more than 200 teachers, under the banner of 'RU Teachers Against Oppression', staged a protest at Rajshahi University, Rajshahi city (Boalia), demanding an end to the killings, disappearances, and harassment of students through mass arrests and called for the release of detainees arrested during the quota reform movement.",0,"crowd size=more than 200",1722974431
BGD28003,"30 July 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Bangladesh)","Women (Bangladesh)",Protesters,,,,"Protesters only",,50,"South Asia",Bangladesh,Dhaka,Dhaka,Shahbagh,"Dhaka - Shahbagh",23.7317,90.3959,1,"United News of Bangladesh",National,"On 30 July 2024, guardians and members of the Bangladesh Women's Liberation Centre, staged a protest rally in front of Dhaka Medical College, Dhaka - Shahbagh (Shahbagh), against the deaths during the quota reform movement. Protesters claimed that they were obstructed by police forces whereas police claimed that the protest was not obstructed.",0,"crowd size=no report",1722974432
BGD28004,"30 July 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Bangladesh)",,Protesters,,,,"Protesters only",,50,"South Asia",Bangladesh,Dhaka,Dhaka,Paltan,"Dhaka - Paltan",23.7333,90.4125,1,"Prothom Alo",National,"On 30 July 2024, an alliance of 31 cultural organizations staged a protest at Zero Point near the entrance to Bangabandhu Avenue in Dhaka - Paltan city, demanding an end to the killings, disappearances, and harassment of students, release of all detained during the quota reform movement and the resignation of the government.",0,"crowd size=no report",1722974432
BGD27950,"30 July 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Bangladesh)","Students (Bangladesh); ADSM: Anti-Discrimination Student Movement",Protesters,,,,"Protesters only",,50,"South Asia",Bangladesh,Rangpur,Panchagarh,"Panchagarh Sadar",Panchagarh,26.3334,88.5578,1,"Prothom Alo",National,"On 30 July 2024, students, under the banner of 'anti-discrimination student movement', staged a protest rally at Panchagarh Modern Sadar Hospital premises, Panchagarh city, Panchagarh Sadar (Rangpur), against the deaths during the quota reform movement, followed by mass arrests. Police arrested 5 persons before and after the protest.",0,"crowd size=no report",1728407771
BGD27944,"30 July 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Bangladesh)","Students (Bangladesh); ADSM: Anti-Discrimination Student Movement",Protesters,,,,"Protesters only",,50,"South Asia",Bangladesh,Dhaka,Kishoregonj,"Kishoreganj Sadar",Kishoreganj,24.4338,90.7847,1,"Prothom Alo",National,"On 30 July 2024, students, under the banner of 'anti-discrimination student movement', staged a protest at old thana area, Kishoreganj city, Kishoreganj Sadar (Kishoregonj, Dhaka), against the deaths during the quota reform movement, and demanded punishment for the culprits.",0,"crowd size=no report",1728407772
BGD27945,"30 July 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Bangladesh)","Students (Bangladesh); ADSM: Anti-Discrimination Student Movement",Protesters,,,,"Protesters only",,50,"South Asia",Bangladesh,Khulna,Jessore,Keshabpur,Keshabpur,22.9073,89.2195,1,"Prothom Alo",National,"On 30 July 2024, students, under the banner of 'anti-discrimination student movement', staged a protest at Tramohini intersection, Keshabpur city (Jessore, Khulna), against the deaths during quota reform movement.",0,"crowd size=no report",1728407772
